filename,q_m3_s,dp_pa
F02a.png,0.2137709981004216,0.9526711040797644
F02b.png,0.2940917163572534,1.2767616744348995
F02c.png,0.2391238772889329,0.4695551756577832
F02d.png,0.2359094049757639,0.4378453799408274
F02e.png,0.3243924515845167,1.4495296142127616
F03a.png,0.1977574556570725,0.7312987433359881
F03b.png,0.1785267125956982,0.5213631407893712
F03c.png,0.238781265851134,0.568130803961311
F03d.png,0.2489740804640288,0.5876931696257462
F03e.png,0.4906090889205124,2.427880709265356
F04a.png,0.3343930480778566,1.672265389735158
F04b.png,0.1849587832929439,0.6276663180784745
F04c.png,0.23066004320726,0.5378967569487314
F04d.png,0.2388680043657048,0.4857946212777838
F04e.png,0.2462056143929184,0.9794315482920416
F07a.png,0.2491572698865956,1.1084088066777518
F07b.png,0.3095460205691608,1.2835411749726853
F07c.png,0.2384814943210133,0.447737731557992
F07d.png,0.2413458974830379,0.4218173249509467
F07e.png,0.4066457558107983,1.8824834223300144
