epoch,total_loss,recon_loss,phys_loss,mean_k,porosity
1,4.103400707244873,0.08746182918548584,4.015938758850098,4.3663265387294814e-05,4.57763671875e-05
2,4.102848529815674,0.08749271184206009,4.015355587005615,9.154580038739368e-05,9.1552734375e-05
3,4.102204322814941,0.08753102272748947,4.014673233032227,0.00014570118219126016,0.0001464843808207661
4,4.101403713226318,0.08759968727827072,4.013803958892822,0.0002185893536079675,0.000213623046875
5,4.100375175476074,0.08765527606010437,4.012720108032227,0.00030728717683814466,0.0002990722714457661
6,4.098720550537109,0.08777952194213867,4.010941028594971,0.00044824593351222575,0.0004425048828125
7,4.097719669342041,0.08783981949090958,4.009880065917969,0.0005453190533444285,0.000518798828125
8,4.096636772155762,0.08790016174316406,4.008736610412598,0.0006367812748067081,0.0006103515625
9,4.0956549644470215,0.0879257470369339,4.0077290534973145,0.0007022460922598839,0.000701904296875
10,4.094823360443115,0.08794943988323212,4.006874084472656,0.0007705221069045365,0.00077056884765625
